"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1379","Flensburg (Schäferhaus)","9,3753","54,7737","41.0","https://cdc.dwd.de/rest/metadata/station/html/812300401255"
"7367","Alfeld","9,8072","51,9643","144.0","https://cdc.dwd.de/rest/metadata/station/html/812300927719"
"3032","List auf Sylt","8,4125","55,0110","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300318247"
"5839","Emden","7,2287","53,3881","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300396839"
"1228","UFS TW Ems","6,3460","54,1651","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300648871"
"7341","Offenbach-Wetterpark","8,7862","50,0900","119.0","https://cdc.dwd.de/rest/metadata/station/html/812300365031"
"2907","Leck","8,9514","54,7903","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300905895"
"4393","Sankt Peter-Ording","8,6031","54,3279","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300142951"
"1200","Elpersbüttel","9,0105","54,0691","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300844135"
"3167","Marienberg, Bad","7,9603","50,6621","547.0","https://cdc.dwd.de/rest/metadata/station/html/812300166631"
"13900","Soden,Bad-Salmünster (Kläranlage)","9,3580","50,2688","145.0","https://cdc.dwd.de/rest/metadata/station/html/812301010829"
"6105","Ostenfeld (Rendsburg)","9,8051","54,3194","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300380007"
"4466","Schleswig","9,5487","54,5275","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300849127"
"4032","Quedlinburg","11,1320","51,7953","142.0","https://cdc.dwd.de/rest/metadata/station/html/812300821031"
"4841","Steinau, Kr. Cuxhaven","8,8735","53,6946","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300453607"
"6163","Dörnick","10,3519","54,1654","27.0","https://cdc.dwd.de/rest/metadata/station/html/812300094887"
"2961","Leuchtturm Kiel","10,2737","54,4996","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300612071"
"5424","Weimar-Schöndorf","11,3544","51,0177","328.0","https://cdc.dwd.de/rest/metadata/station/html/812300630759"
"701","Bremerhaven","8,5761","53,5332","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300855975"
"445","Bernburg/Saale (Nord)","11,7110","51,8218","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300759271"
"6157","Wangerland-Hooksiel","8,0809","53,6411","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300809191"
"15207","Schauenburg-Elgershausen","9,3590","51,2835","317.0","https://cdc.dwd.de/rest/metadata/station/html/812300483559"
"15044","Neuwied-Feldkirchen-Hüllenberg","7,4058","50,4517","199.0","https://cdc.dwd.de/rest/metadata/station/html/812301004784"
"891","Cuxhaven","8,7060","53,8713","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300330087"
"3204","Martinroda","10,8815","50,7335","429.0","https://cdc.dwd.de/rest/metadata/station/html/812300568999"
"3086","Lübeck-Blankensee","10,6989","53,8025","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300024423"
